"component.id","kind","family","version","component.sha256"
"sampling.clustered.7a88d72306d427fe","sampling","clustered",1,"7a88d72306d427fe57c542efa01c8c9e27503eabfc0f489a60434ba9a95359b9"
"sampling.dirichlet.zeros.e830efc7c3015518","sampling","dirichlet.zeros",1,"e830efc7c301551826258c739bf93e569b9e7e64fba49812e2be511129d4a5fe"
"sampling.gapped.uniform.b9f776812211bcab","sampling","gapped.uniform",1,"b9f776812211bcabb14e0b7a800e25db15b9c77e9e23e980f3449f81f879770d"
"sampling.stratified.g4.62b43a835e807ef6","sampling","stratified.g4",1,"62b43a835e807ef6326ce65d20900b9e2808d4138e4d6363c0a3a0ed374d98e7"
"sampling.truncated.normal.4c48fa6150152e62","sampling","truncated.normal",1,"4c48fa6150152e62d19439988d19998c4f73d4c6526d5938bc700af074e94ca8"
"sampling.uniform.box.b0a28e98671299b2","sampling","uniform.box",1,"b0a28e98671299b2fa4c4134784fe0288fc98a5982e9b8b57a0d5b09ba9a460d"
"sampling.uniform.disk.fea0819a45487236","sampling","uniform.disk",1,"fea0819a45487236ff5a27c973f82fcab69f68b7018b20988336819ed6c34b50"
"sampling.uniform.interval.872aa7e5a2234dad","sampling","uniform.interval",1,"872aa7e5a2234dade79bdb9cef2e7dd39ed4c0d89e8f2e06ac4c9b2c808cdd83"
"sampling.uniform.interval.a664af5a729cb000","sampling","uniform.interval",1,"a664af5a729cb00024041c7b10cee1937d928a85ca19d2e6f53b48d812e8a930"
"sampling.uniform.rectangle.ec9e43918676f883","sampling","uniform.rectangle",1,"ec9e43918676f883ad96e93e6e36af160bb283560240cda12861f70a9650f8c8"
